"id","name","code","reconcile","chart_template_id/id","user_type_id/id"
"pcg_2121","Frais d acquisition des immobilisations","2121","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2125","Frais d'émission des emprunts","2125","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2128","Autres charges à  répartir","2128","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2130","Primes de remboursement des obligations","2130","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2210","Immobilisation en recherche et développement","2210","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2220","Brevets, marques, droits et valeurs similaires","2220","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2230","Fonds commercial","2230","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2285","Autres immobilisations incorporelles","2285","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2311","Terrains nus","2311","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2312","Terrains aménagés","2312","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2313","Terrains bâtis","2313","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2314","Terrains de gisement","2314","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2316","Agencements et aménagements de terrains","2316","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2318","Autres terrains","2318","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_23211","Bâtiments industriels (A,B,,,)","23211","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_23214","Bâtiments Administratifs et commerciaux","23214","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_23218","Autres bâtiments","23218","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2323","Constructions sur terrains d'autrui","2323","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2325","Ouvrages d'infrastructure","2325","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2327","Agencements et aménagements des constructions","2327","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2328","Autres constructions","2328","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2331","Installations techniques","2331","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_23321","Matériel","23321","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_23324","Outillage","23324","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2333","Emballages récupérables identifiables","2333","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2338","Autres installations techniques, matériel et outillage","2338","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2340","Matériel de transport","2340","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2351","Mobilier de bureau","2351","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2352","Matériel de bureau","2352","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2355","Matériel informatique","2355","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2356","Agencements, installations et aménagements divers (biens n'appartenant pas à  l'entreprise)","2356","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2358","Autres mobilier, matériel de bureau et aménagements divers","2358","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2380","Autres immobilisations corporelles","2380","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2392","Immobilisations corporelles en cours des terrains et constructions","2392","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2393","Immobilisations corporelles en cours des installations techniques, matériel et outillage","2393","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2394","Immobilisations corporelles en cours de matériel de transport","2394","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2395","Immobilisations corporelles en cours de mobilier, matériel de bureau et aménagements divers","2395","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2397","Avances et acomptes versés sur commandes d'immobilisations corporelles","2397","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2398","Autres immobilisations corporelles en cours","2398","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2411","Prêts au personnel","2411","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2415","Prêts aux associés","2415","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2416","Billets de fonds","2416","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2418","Autres prêts","2418","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_24811","Obligations","24811","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_24813","Bons d'équipement","24813","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_24818","Bons divers","24818","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2483","Créances rattachées à  des participations","2483","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_24861","Dépôts","24861","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_24864","Cautionnements","24864","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2487","Créances immobilisées","2487","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2488","Créances financières diverses","2488","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2510","Titres de participation","2510","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2581","Actions","2581","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2588","Titres divers","2588","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2710","Diminution des créances immobilisées","2710","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2720","Augmentation des dettes de financement","2720","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28111","Amortissements des frais de constitution","28111","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28112","Amortissements des frais préliminaires au démarrage","28112","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28113","Amortissements des frais d'augmentation du capital","28113","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28114","Amortissements des frais sur opérations de fusions, scissions, et transformations","28114","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28116","Amortissements des frais de prospection","28116","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28117","Amortissements des frais de publicité","28117","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28118","Amortissements des autres frais préliminaires","28118","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28121","Amortissements des frais d'acquisition des immobilisations","28121","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28125","Amortissements des frais d'émission des emprunts","28125","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28128","Amortissements des autres charges à  répartir","28128","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2821","Amortissements de l'immobilisation en recherche et développement","2821","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2822","Amortissements des brevets, marques, droits et valeurs similaires","2822","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2823","Amortissements du fonds commercial","2823","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_2828","Amortissements des autres immobilisations incorporelles","2828","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28311","Amortissements des terrains nus","28311","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_28312","Amortissements des terrains aménagés","28312","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
